id,State_Name,Tot_pop,Tot_HH,Children,Youth,Adult,Senior,White,Non-White,Med_HH_Inc,Pct_below_Poverty_Rate,,,pct_agri,pct_Construction,pct_Manufacturing,pct_Wholesale_trade,pct_Retail_trade,pct_Transportation,pct_Information,pct_Finance,pct_Professional,pct_Educational,pct_recreational,pct_Others,pct_Public_administration
0400000US01,Alabama,4864680,1860269,18.6,13.6,51.8,16.1,69.9,30.1,48486,13,,,1.5,6.5,14.2,2.6,11.8,5.4,1.6,5.5,9.6,22.4,8.4,5.1,5.4
0400000US02,Alaska,738516,253462,21.1,14.1,53.9,10.5,72.4,27.6,76715,7.5,,,4.8,7,3.6,1.7,10.9,8.3,2.2,3.5,8.2,24,9.3,4.4,12
0400000US04,Arizona,6946685,2524300,19.5,13.7,50.1,16.7,80.3,19.7,56213,11.6,,,1.4,6.8,7,2.3,12.2,5.2,1.8,8.3,12.3,21.9,11.1,4.8,4.9
0400000US05,Arkansas,2990671,1152175,19.6,13.5,50.5,16.3,79.3,20.7,45726,12.9,,,2.9,6.5,13.5,2.4,13.3,5.6,1.6,4.8,7.6,24.5,7.9,4.8,4.5
0400000US06,California,39148760,12965435,19.2,13.8,53.4,13.6,64.1,35.9,71228,10.4,,,2.3,6.2,9.3,2.9,10.6,5.1,2.9,6.1,13.4,21,10.5,5.3,4.4
0400000US08,Colorado,5531141,2113387,19,13.2,54.4,13.3,87.4,12.6,68811,7.2,,,2.4,8.1,6.7,2.5,10.8,4.6,2.9,7,13.9,20.8,10.7,5,4.7
0400000US09,Connecticut,3581504,1367374,17.1,13.8,52.8,16.4,78.9,21.1,76106,6.9,,,0.4,5.9,10.5,2.5,10.6,4,2.3,9.1,11.5,26.5,8.3,4.6,3.7
0400000US10,Delaware,949495,357765,17.8,12.7,51.9,17.6,71.2,28.8,65627,8,,,1,6.7,8.5,2,12.2,4.9,1.4,9.5,9.8,24.8,9.3,4.3,5.6
0400000US11,District of Columbia,684498,281322,15.4,13.4,59.2,12,43.3,56.7,82604,12.9,,,0.1,2.7,1.3,0.5,4.7,3.1,3.8,6.7,23.4,18.5,9.9,9,16.2
0400000US12,Florida,20598139,7621760,16.6,12,51.5,19.7,77.6,22.4,53267,10.6,,,1,7.3,5.1,2.7,12.9,5.4,1.9,7.7,13.1,21,12.2,5.3,4.3
0400000US13,Georgia,10297484,3709488,20.2,14,52.8,13.1,61,39,55679,12.1,,,1.1,6.6,10.6,2.8,11.7,6.4,2.4,6.2,12,20.8,9.4,4.9,5
0400000US15,Hawaii,1422029,456782,18.3,12.3,52.1,17.3,43.1,56.9,78084,6.7,,,1.5,7.3,3,2.2,11.5,5.9,1.5,6.7,10.1,20.5,16.4,4.4,8.9
0400000US16,Idaho,1687809,618331,21.6,13.8,49.5,15,93.1,6.9,53089,9.6,,,5.2,7.3,9.8,2.6,12,4.9,1.8,5.1,10.2,22.5,9,4.6,4.9
0400000US17,Illinois,12821497,4830038,18.9,13.4,53,14.8,73.8,26.2,63575,9.4,,,1.1,5.3,12.1,3,10.8,6.3,1.9,7.3,11.8,22.9,9.1,4.7,3.6
0400000US18,Indiana,6637426,2553818,19.6,14.1,51.3,15,85.8,14.2,54325,9.9,,,1.3,5.9,19,2.6,11.1,5.3,1.5,5.2,8.3,22.9,8.8,4.6,3.4
0400000US19,Iowa,3132499,1256855,19.4,14.2,50,16.4,92.2,7.8,58580,7.4,,,3.8,6.4,14.9,2.9,11.7,4.8,1.6,7.6,7.3,24.4,7.3,4.2,3.1
0400000US20,Kansas,2908776,1124549,20.5,14.4,50,15,87.8,12.2,57422,8.2,,,3.3,6.4,12.4,2.8,10.7,4.9,2,6.2,9.6,24.7,8.2,4.5,4.5
0400000US21,Kentucky,4440204,1728681,18.9,13.4,52.1,15.6,89.2,10.8,48392,13.5,,,2.2,5.9,14.4,2.4,11.9,6.1,1.7,5.5,8.3,23.7,8.8,4.6,4.3
0400000US22,Louisiana,4663616,1736021,19.8,13.6,52.3,14.5,63.9,36.1,47942,14.6,,,4,8.1,7.8,2.6,11.6,5.4,1.6,5,9,23.6,10.8,5.1,5.5
0400000US23,Maine,1332813,556955,15.6,11.8,53.2,19.4,96.6,3.4,55425,7.9,,,2.6,6.9,9,2.1,13.2,3.8,1.8,6.2,9.1,27.7,8.9,4.6,4.1
0400000US24,Maryland,6003435,2192518,18.6,12.9,54,14.6,58.9,41.1,81868,6.4,,,0.5,6.8,4.4,1.8,9.6,4.6,2.1,6,15.5,23.8,8.5,5.5,10.9
