Confirmed,Date,Deaths,Last Update,Recovered,Region,_id,State_Name
444,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7c9,Hubei
26,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ca,Guangdong
14,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7cb,Beijing
10,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7cc,Zhejiang
9,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7cd,Shanghai
6,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ce,Chongqing
5,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7cf,Henan
5,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d0,Sichuan
4,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d1,Hainan
4,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d2,Hunan
4,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d3,Tianjin
2,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d4,Guangxi
2,1/22/2020,0,1/22/2020 12:00,0,Japan,5e878e8b4d6afbef43dab7d5,Japan
2,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d6,Jiangxi
2,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d7,Liaoning
2,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7d8,Shandong
2,1/22/2020,0,1/22/2020 12:00,0,Thailand,5e878e8b4d6afbef43dab7d9,Thailand
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7da,Anhui
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7db,Fujian
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7dc,Guizhou
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7dd,Hebei
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7de,Jiangsu
1,1/22/2020,0,1/22/2020 12:00,0,Macau,5e878e8b4d6afbef43dab7df,Macau
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7e0,Ningxia
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7e1,Shanxi
1,1/22/2020,0,1/22/2020 12:00,0,South Korea,5e878e8b4d6afbef43dab7e2,South Korea
1,1/22/2020,0,1/22/2020 12:00,0,Taiwan,5e878e8b4d6afbef43dab7e3,Taiwan
1,1/22/2020,0,1/22/2020 12:00,0,USA,5e878e8b4d6afbef43dab7e4,Washington
1,1/22/2020,0,1/22/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7e5,Yunnan
444,1/23/2020,17,1/23/2020 12:00,28,Mainland China,5e878e8b4d6afbef43dab7e6,Hubei
32,1/23/2020,0,1/23/2020 12:00,2,Mainland China,5e878e8b4d6afbef43dab7e7,Guangdong
27,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7e8,Zhejiang
22,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7e9,Beijing
16,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ea,Shanghai
9,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7eb,Anhui
9,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ec,Chongqing
9,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ed,Hunan
8,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ee,Sichuan
7,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7ef,Jiangxi
6,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f0,Shandong
5,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f1,Fujian
5,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f2,Guangxi
5,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f3,Hainan
5,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f4,Henan
5,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f5,Jiangsu
4,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f6,Tianjin
3,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f7,Guizhou
3,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f8,Liaoning
3,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7f9,Shaanxi
3,1/23/2020,0,1/23/2020 12:00,0,Thailand,5e878e8b4d6afbef43dab7fa,Thailand
2,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7fb,Gansu
2,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab7fc,Heilongjiang
2,1/23/2020,0,1/23/2020 12:00,0,Hong Kong,5e878e8b4d6afbef43dab7fd,Hong Kong
2,1/23/2020,0,1/23/2020 12:00,0,Macau,5e878e8b4d6afbef43dab7fe,Macau
2,1/23/2020,0,1/23/2020 12:00,0,Vietnam,5e878e8b4d6afbef43dab7ff,Vietnam
2,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab800,Xinjiang Uygur
2,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab801,Yunnan
1,1/23/2020,1,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab802,Hebei
2,1/23/2020,0,1/23/2020 12:00,0,Japan,5e878e8b4d6afbef43dab803,Japan
1,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab804,Jilin
1,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab805,Ningxia
1,1/23/2020,0,1/23/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab806,Shanxi
1,1/23/2020,0,1/23/2020 12:00,0,Singapore,5e878e8b4d6afbef43dab807,Singapore
1,1/23/2020,0,1/23/2020 12:00,0,South Korea,5e878e8b4d6afbef43dab808,South Korea
1,1/23/2020,0,1/23/2020 12:00,0,Taiwan,5e878e8b4d6afbef43dab809,Taiwan
1,1/23/2020,0,1/23/2020 12:00,0,USA,5e878e8b4d6afbef43dab80a,Washington
549,1/24/2020,24,1/24/2020 12:00,31,Mainland China,5e878e8b4d6afbef43dab80b,Hubei
53,1/24/2020,0,1/24/2020 12:00,2,Mainland China,5e878e8b4d6afbef43dab80c,Guangdong
43,1/24/2020,0,1/24/2020 12:00,1,Mainland China,5e878e8b4d6afbef43dab80d,Zhejiang
36,1/24/2020,0,1/24/2020 12:00,1,Mainland China,5e878e8b4d6afbef43dab80e,Beijing
27,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab80f,Chongqing
24,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab810,Hunan
23,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab811,Guangxi
20,1/24/2020,0,1/24/2020 12:00,1,Mainland China,5e878e8b4d6afbef43dab812,Shanghai
18,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab813,Jiangxi
15,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab814,Anhui
15,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab815,Shandong
15,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab816,Sichuan
10,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab817,Fujian
9,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab818,Henan
9,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab819,Jiangsu
8,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab81a,Hainan
8,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab81b,Tianjin
5,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab81c,Shaanxi
5,1/24/2020,0,1/24/2020 12:00,0,Thailand,5e878e8b4d6afbef43dab81d,Thailand
5,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab81e,Yunnan
4,1/24/2020,1,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab81f,Heilongjiang
