name,Region,Last Update,Confirmed,Deaths,Recovered,Date
Hubei,Mainland China,2020-01-22 12:00:00,444,0,0,01-22-2020
Guangdong,Mainland China,2020-01-22 12:00:00,26,0,0,01-22-2020
Beijing,Mainland China,2020-01-22 12:00:00,14,0,0,01-22-2020
Zhejiang,Mainland China,2020-01-22 12:00:00,10,0,0,01-22-2020
Shanghai,Mainland China,2020-01-22 12:00:00,9,0,0,01-22-2020
Chongqing,Mainland China,2020-01-22 12:00:00,6,0,0,01-22-2020
Henan,Mainland China,2020-01-22 12:00:00,5,0,0,01-22-2020
Sichuan,Mainland China,2020-01-22 12:00:00,5,0,0,01-22-2020
Hainan,Mainland China,2020-01-22 12:00:00,4,0,0,01-22-2020
Hunan,Mainland China,2020-01-22 12:00:00,4,0,0,01-22-2020
Tianjin,Mainland China,2020-01-22 12:00:00,4,0,0,01-22-2020
Guangxi,Mainland China,2020-01-22 12:00:00,2,0,0,01-22-2020
Japan,Japan,2020-01-22 12:00:00,2,0,0,01-22-2020
Jiangxi,Mainland China,2020-01-22 12:00:00,2,0,0,01-22-2020
Liaoning,Mainland China,2020-01-22 12:00:00,2,0,0,01-22-2020
Shandong,Mainland China,2020-01-22 12:00:00,2,0,0,01-22-2020
Thailand,Thailand,2020-01-22 12:00:00,2,0,0,01-22-2020
Anhui,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Fujian,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Guizhou,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Hebei,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Jiangsu,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Macau,Macau,2020-01-22 12:00:00,1,0,0,01-22-2020
Ningxia,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Shanxi,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
South Korea,South Korea,2020-01-22 12:00:00,1,0,0,01-22-2020
Taiwan,Taiwan,2020-01-22 12:00:00,1,0,0,01-22-2020
Washington,USA,2020-01-22 12:00:00,1,0,0,01-22-2020
Yunnan,Mainland China,2020-01-22 12:00:00,1,0,0,01-22-2020
Hubei,Mainland China,2020-01-23 12:00:00,444,17,28,01-23-2020
Guangdong,Mainland China,2020-01-23 12:00:00,32,0,2,01-23-2020
Zhejiang,Mainland China,2020-01-23 12:00:00,27,0,0,01-23-2020
Beijing,Mainland China,2020-01-23 12:00:00,22,0,0,01-23-2020
Shanghai,Mainland China,2020-01-23 12:00:00,16,0,0,01-23-2020
Anhui,Mainland China,2020-01-23 12:00:00,9,0,0,01-23-2020
Chongqing,Mainland China,2020-01-23 12:00:00,9,0,0,01-23-2020
Hunan,Mainland China,2020-01-23 12:00:00,9,0,0,01-23-2020
Sichuan,Mainland China,2020-01-23 12:00:00,8,0,0,01-23-2020
Jiangxi,Mainland China,2020-01-23 12:00:00,7,0,0,01-23-2020
Shandong,Mainland China,2020-01-23 12:00:00,6,0,0,01-23-2020
Fujian,Mainland China,2020-01-23 12:00:00,5,0,0,01-23-2020
Guangxi,Mainland China,2020-01-23 12:00:00,5,0,0,01-23-2020
Hainan,Mainland China,2020-01-23 12:00:00,5,0,0,01-23-2020
Henan,Mainland China,2020-01-23 12:00:00,5,0,0,01-23-2020
Jiangsu,Mainland China,2020-01-23 12:00:00,5,0,0,01-23-2020
Tianjin,Mainland China,2020-01-23 12:00:00,4,0,0,01-23-2020
Guizhou,Mainland China,2020-01-23 12:00:00,3,0,0,01-23-2020
Liaoning,Mainland China,2020-01-23 12:00:00,3,0,0,01-23-2020
Shaanxi,Mainland China,2020-01-23 12:00:00,3,0,0,01-23-2020
Thailand,Thailand,2020-01-23 12:00:00,3,0,0,01-23-2020
Gansu,Mainland China,2020-01-23 12:00:00,2,0,0,01-23-2020
Heilongjiang,Mainland China,2020-01-23 12:00:00,2,0,0,01-23-2020
Hong Kong,Hong Kong,2020-01-23 12:00:00,2,0,0,01-23-2020
Macau,Macau,2020-01-23 12:00:00,2,0,0,01-23-2020
Vietnam,Vietnam,2020-01-23 12:00:00,2,0,0,01-23-2020
Xinjiang Uygur,Mainland China,2020-01-23 12:00:00,2,0,0,01-23-2020
Yunnan,Mainland China,2020-01-23 12:00:00,2,0,0,01-23-2020
Hebei,Mainland China,2020-01-23 12:00:00,1,1,0,01-23-2020
Japan,Japan,2020-01-23 12:00:00,2,0,0,01-23-2020
Jilin,Mainland China,2020-01-23 12:00:00,1,0,0,01-23-2020
Ningxia,Mainland China,2020-01-23 12:00:00,1,0,0,01-23-2020
Shanxi,Mainland China,2020-01-23 12:00:00,1,0,0,01-23-2020
Singapore,Singapore,2020-01-23 12:00:00,1,0,0,01-23-2020
South Korea,South Korea,2020-01-23 12:00:00,1,0,0,01-23-2020
Taiwan,Taiwan,2020-01-23 12:00:00,1,0,0,01-23-2020
Washington,USA,2020-01-23 12:00:00,1,0,0,01-23-2020
Hubei,Mainland China,2020-01-24 12:00:00,549,24,31,01-24-2020
Guangdong,Mainland China,2020-01-24 12:00:00,53,0,2,01-24-2020
Zhejiang,Mainland China,2020-01-24 12:00:00,43,0,1,01-24-2020
Beijing,Mainland China,2020-01-24 12:00:00,36,0,1,01-24-2020
Chongqing,Mainland China,2020-01-24 12:00:00,27,0,0,01-24-2020
Hunan,Mainland China,2020-01-24 12:00:00,24,0,0,01-24-2020
Guangxi,Mainland China,2020-01-24 12:00:00,23,0,0,01-24-2020
Shanghai,Mainland China,2020-01-24 12:00:00,20,0,1,01-24-2020
Jiangxi,Mainland China,2020-01-24 12:00:00,18,0,0,01-24-2020
Anhui,Mainland China,2020-01-24 12:00:00,15,0,0,01-24-2020
Shandong,Mainland China,2020-01-24 12:00:00,15,0,0,01-24-2020
Sichuan,Mainland China,2020-01-24 12:00:00,15,0,0,01-24-2020
Fujian,Mainland China,2020-01-24 12:00:00,10,0,0,01-24-2020
Henan,Mainland China,2020-01-24 12:00:00,9,0,0,01-24-2020
Jiangsu,Mainland China,2020-01-24 12:00:00,9,0,0,01-24-2020
Hainan,Mainland China,2020-01-24 12:00:00,8,0,0,01-24-2020
Tianjin,Mainland China,2020-01-24 12:00:00,8,0,0,01-24-2020
Shaanxi,Mainland China,2020-01-24 12:00:00,5,0,0,01-24-2020
Thailand,Thailand,2020-01-24 12:00:00,5,0,0,01-24-2020
Yunnan,Mainland China,2020-01-24 12:00:00,5,0,0,01-24-2020
Heilongjiang,Mainland China,2020-01-24 12:00:00,4,1,0,01-24-2020
Liaoning,Mainland China,2020-01-24 12:00:00,4,0,0,01-24-2020
Guizhou,Mainland China,2020-01-24 12:00:00,3,0,0,01-24-2020
Jilin,Mainland China,2020-01-24 12:00:00,3,0,0,01-24-2020
Singapore,Singapore,2020-01-24 12:00:00,3,0,0,01-24-2020
Taiwan,Taiwan,2020-01-24 12:00:00,3,0,0,01-24-2020
France,France,2020-01-24 16:00:00,2,0,0,01-24-2020
Gansu,Mainland China,2020-01-24 12:00:00,2,0,0,01-24-2020
Hebei,Mainland China,2020-01-24 12:00:00,2,1,0,01-24-2020
Hong Kong,Hong Kong,2020-01-24 12:00:00,2,0,0,01-24-2020
Japan,Japan,2020-01-24 12:00:00,2,0,0,01-24-2020
Macau,Macau,2020-01-24 12:00:00,2,0,0,01-24-2020
Ningxia,Mainland China,2020-01-24 12:00:00,2,0,0,01-24-2020
South Korea,South Korea,2020-01-24 12:00:00,2,0,0,01-24-2020
Vietnam,Vietnam,2020-01-24 12:00:00,2,0,0,01-24-2020
Xinjiang Uygur,Mainland China,2020-01-24 12:00:00,2,0,0,01-24-2020
Illinois,USA,2020-01-24 12:00:00,1,0,0,01-24-2020
Nei Mongol,Mainland China,2020-01-24 12:00:00,1,0,0,01-24-2020
Shanxi,Mainland China,2020-01-24 12:00:00,1,0,0,01-24-2020
Washington,USA,2020-01-24 12:00:00,1,0,0,01-24-2020
Hubei,Mainland China,2020-01-25 22:00:00,1052,52,42,01-25-2020
Zhejiang,Mainland China,2020-01-25 22:00:00,104,0,1,01-25-2020
Guangdong,Mainland China,2020-01-25 12:00:00,98,0,2,01-25-2020
Henan,Mainland China,2020-01-25 12:00:00,83,1,0,01-25-2020
Chongqing,Mainland China,2020-01-25 12:00:00,75,0,0,01-25-2020
Hunan,Mainland China,2020-01-25 12:00:00,69,0,0,01-25-2020
Anhui,Mainland China,2020-01-25 12:00:00,60,0,0,01-25-2020
Beijing,Mainland China,2020-01-25 12:00:00,51,0,2,01-25-2020
Sichuan,Mainland China,2020-01-25 12:00:00,44,0,0,01-25-2020
Shanghai,Mainland China,2020-01-25 12:00:00,40,1,1,01-25-2020
Shandong,Mainland China,2020-01-25 12:00:00,39,0,0,01-25-2020
Jiangxi,Mainland China,2020-01-25 12:00:00,36,0,0,01-25-2020
Guangxi,Mainland China,2020-01-25 12:00:00,33,0,0,01-25-2020
Jiangsu,Mainland China,2020-01-25 12:00:00,31,0,1,01-25-2020
Hainan,Mainland China,2020-01-25 12:00:00,19,0,0,01-25-2020
Liaoning,Mainland China,2020-01-25 12:00:00,19,0,0,01-25-2020
Fujian,Mainland China,2020-01-25 12:00:00,18,0,0,01-25-2020
Heilongjiang,Mainland China,2020-01-25 12:00:00,15,1,0,01-25-2020
Shaanxi,Mainland China,2020-01-25 12:00:00,15,0,0,01-25-2020
Hebei,Mainland China,2020-01-25 12:00:00,13,1,0,01-25-2020
Tianjin,Mainland China,2020-01-25 12:00:00,13,0,0,01-25-2020
Yunnan,Mainland China,2020-01-25 12:00:00,11,0,0,01-25-2020
Shanxi,Mainland China,2020-01-25 12:00:00,9,0,0,01-25-2020
Gansu,Mainland China,2020-01-25 12:00:00,7,0,0,01-25-2020
Nei Mongol,Mainland China,2020-01-25 12:00:00,7,0,0,01-25-2020
Thailand,Thailand,2020-01-25 12:00:00,7,0,0,01-25-2020
Guizhou,Mainland China,2020-01-25 12:00:00,5,0,0,01-25-2020
Hong Kong,Hong Kong,2020-01-25 12:00:00,5,0,0,01-25-2020
Australia,Australia,2020-01-25 12:00:00,4,0,0,01-25-2020
Jilin,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
Ningxia,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
Xinjiang Uygur,Mainland China,2020-01-25 12:00:00,4,0,0,01-25-2020
France,France,2020-01-25 12:00:00,3,0,0,01-25-2020
Malaysia,Malaysia,2020-01-25 12:00:00,3,0,0,01-25-2020
Singapore,Singapore,2020-01-25 12:00:00,3,0,0,01-25-2020
South Korea,South Korea,2020-01-25 12:00:00,3,0,0,01-25-2020
Taiwan,Taiwan,2020-01-25 12:00:00,3,0,0,01-25-2020
Japan,Japan,2020-01-25 12:00:00,2,0,0,01-25-2020
Macau,Macau,2020-01-25 12:00:00,2,0,0,01-25-2020
Vietnam,Vietnam,2020-01-25 12:00:00,2,0,0,01-25-2020
Illinois,USA,2020-01-25 12:00:00,1,0,0,01-25-2020
Nepal,Nepal,2020-01-25 12:00:00,1,0,0,01-25-2020
Qinghai,Mainland China,2020-01-25 12:00:00,1,0,0,01-25-2020
Washington,USA,2020-01-25 12:00:00,1,0,0,01-25-2020
Hubei,Mainland China,2020-01-26 23:00:00,1423,76,44,01-26-2020
Guangdong,Mainland China,2020-01-26 23:00:00,146,0,2,01-26-2020
Henan,Mainland China,2020-01-26 23:00:00,128,1,0,01-26-2020
