countyFIPS,county,stateFIPS,state,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT,PCT_AGRI,PCT_CONST,PCT_MFG,PCT_WHLS_TRA,PCT_RET_TRA,PCT_TRANS,PCT_INFO,PCT_FIN,PCT_PRO,PCT_EDU,PCT_REC,PCT_OTHERS,PCT_PUB_ADMIN
72001,AdjuntasMunicipio,72,PR,18181,null,17.3,13.7,51.3,17.8,75.9,24.1,12902,60.8,6,5.9,7,0.6,9.9,4.6,0.5,2.9,4.6,31.5,9.6,3.9,13.1
72003,AguadaMunicipio,72,PR,38643,null,15.3,13.6,53.9,17.2,93,7,16347,49.1,0.4,8.2,8.9,2.3,14.7,4.1,2.1,2.6,11,19,11.9,7.4,7.5
72005,AguadillaMunicipio,72,PR,54166,null,16.1,13.6,50.1,20.1,79,21,16693,48.4,0.6,3.3,12.5,1.4,12.5,5.4,1.6,3.9,10.8,20.5,10.3,5,12.4
72007,AguasBuenasMunicipio,72,PR,26275,null,16.6,13.7,51.5,18.1,87.9,12.1,17255,48.2,1.3,9.7,9.8,2.8,14.1,4.2,1.2,4.3,6.7,23.2,6.2,9.7,6.8
72009,AibonitoMunicipio,72,PR,23457,null,16.2,13.1,51.8,18.9,76.9,23.1,19720,40.5,2.3,6.1,14.4,3.4,16.5,3.2,1,3,7.1,26.6,6,6.2,4.3
72011,A�ascoMunicipio,72,PR,27368,null,15.5,13.7,51.9,19.1,85.9,14.1,19379,40.9,2.1,6.2,20.2,1.3,14.5,2,1.6,2.6,7.1,19,12.2,4.9,6.3
72013,AreciboMunicipio,72,PR,87242,null,15.5,13.8,50.4,20.4,83.2,16.8,18001,43.7,1.2,3.4,13.4,1,15.2,3.3,1.6,4.7,7.6,25.4,8.6,4.5,10.1
72015,ArroyoMunicipio,72,PR,18111,null,18.4,13.7,49.9,17.9,61.5,38.5,16976,54.4,1.1,6.5,10.3,0,10.8,1.9,0.6,2.9,4.7,34,12.3,3.8,11.2
72017,BarcelonetaMunicipio,72,PR,24299,null,17.1,14,50.6,18.2,87.2,12.8,16889,46.5,0.9,5.3,16.3,2.3,16.6,3.5,0,3.3,7.4,21.4,9.3,3.7,10
72019,BarranquitasMunicipio,72,PR,28755,null,18.7,15.7,51.1,14.3,90.3,9.7,15970,54.3,1.3,10.5,14.5,2.1,12,4.1,1,2.3,6.7,27.3,6.2,4.7,7.2
