countyFIPS,county,stateFIPS,state,TOT_POP,TOT_HH,PCT_CHLDN,PCT_YOUTH,PCT_AD,PCT_SR,PCT_WHT,PCT_NWHT,MED_HH_INC,PCT_BLW_POV_RT,PCT_AGRI,PCT_CONST,PCT_MFG,PCT_WHLS_TRA,PCT_RET_TRA,PCT_TRANS,PCT_INFO,PCT_FIN,PCT_PRO,PCT_EDU,PCT_REC,PCT_OTHERS,PCT_PUB_ADMIN
01001,Autauga,01,AL,55200,21115,19.7,13,52.8,14.6,78.6,21.4,58786,12,0.9,6,12.9,2.7,8.9,7,1.6,6.3,8.9,20.1,8.1,6.2,10.3
01003,Baldwin,01,AL,208107,78622,18.1,11.3,51,19.5,87.8,12.2,55962,7.3,1.3,8.3,9.1,3.1,13.7,4.9,1.4,7.4,10.6,20.1,10.1,4.9,5.1
01005,Barbour,01,AL,25782,9186,17.5,12,52.5,17.9,48.3,51.7,34186,21.5,4.5,6.3,23.9,2.8,10.6,6.9,0.2,4,4.8,18.6,5.9,4.4,7.1
01007,Bibb,01,AL,22527,6840,16.6,13.3,53.9,16.2,77.4,22.6,45340,10.5,6,9,18.7,1.7,9.1,4.9,1.3,4.6,4.7,22.8,4.4,7.5,5.3
01009,Blount,01,AL,57645,20600,19.2,11.9,51.1,17.7,97.1,2.9,48695,10.2,2.3,9.5,16.4,3.6,11.8,6.9,1.3,5.8,7.7,19.7,4.6,6,4.6
01011,Bullock,01,AL,10352,3609,17.1,14.3,52.9,15.7,22,78,32152,31,5.9,4.9,33.8,0.9,6.5,5.2,0.4,2.3,4.9,16.2,8.2,4.1,6.5
01013,Butler,01,AL,20025,6708,18.9,11.9,50.3,19,53.5,46.5,39109,18.9,3,5.6,24,1.4,11.2,4.6,1.3,3,4.6,20.4,10.5,4.9,5.5
01015,Calhoun,01,AL,115098,45033,17.8,13.4,51.8,16.9,76.5,23.5,45197,14.6,1.2,6,17.6,2.4,12.6,4.6,1.5,4.4,7.2,21.7,8.5,4.9,7.2
01017,Chambers,01,AL,33826,13516,17.1,13.3,50.6,19,58.6,41.4,39872,11.3,1.5,4.5,28.8,2.4,10.4,3.6,1.9,3.6,10.1,18.8,6.3,4.1,4
01019,Cherokee,01,AL,25853,10606,16.3,11.5,50.5,21.8,93.5,6.5,41014,12.5,3.3,7.3,26.3,0.9,11,7.4,1,1.8,4.7,23.3,4.7,2.2,6.2
01021,Chilton,01,AL,43930,16751,19.9,12.3,52.1,15.8,85.5,14.5,45182,15.3,2.7,15.4,13.9,4.2,11.8,6.5,0.7,5.7,6.9,15.8,4.6,6.9,4.9
01023,Choctaw,01,AL,13075,5350,16.3,11.5,50.1,22.1,57,43,34884,17.8,11.9,7.1,17.1,1.1,14.6,4.6,1.3,2.2,4.6,23.9,3.3,4,4.2
01025,Clarke,01,AL,24387,9358,17.7,13.1,50.2,19,53.6,46.4,36127,18.4,4.5,7.7,24,1.5,12.4,6.5,0.9,4.1,3.9,18.4,6,6.3,3.9
01027,Clay,01,AL,13378,5236,17.4,13.3,49.5,19.8,83.7,16.3,41225,14.8,3.6,4.7,32.9,1.7,11.1,4.9,1.5,3.1,4,20.4,4.4,3.4,4.4
01029,Cleburne,01,AL,14938,5726,19,11.1,51.1,18.8,96.1,3.9,40188,12,4.7,12.6,19.4,2.2,13.5,6.5,0.3,2.8,4,19.3,6.1,3,5.6
01031,Coffee,01,AL,51288,19789,19.5,12.4,51.7,16.4,78.6,21.4,53155,11.6,3.7,5.7,11.6,2.1,11,8.3,1.2,4,7.3,22.8,7.5,4.8,9.9
01033,Colbert,01,AL,54495,21799,17.6,11.6,51.6,19.2,81.5,18.5,47558,12.6,1.1,7.9,19.4,2.1,13,5.8,1.2,4.9,6.8,20.9,7.9,4.9,4
01035,Conecuh,01,AL,12514,4574,17.4,11.9,49.1,21.7,51.7,48.3,33177,17.4,7.1,5.6,17.3,2.4,16.4,8.1,2.8,4.7,1.1,16.8,7.2,3,7.3
01037,Coosa,01,AL,10855,4103,13.9,10.4,54,21.8,65.7,34.3,38301,8.7,1.3,8.7,20.2,2.5,8.6,10.7,1.2,4.8,5.7,18.1,8.7,5.1,4.5
01039,Covington,01,AL,37351,15008,18.1,11.1,50.4,20.4,86.2,13.8,40601,13.8,6.4,6.9,14.2,3,11.3,9.8,0.6,3.5,9.4,18.6,5.7,4.7,5.8
01041,Crenshaw,01,AL,13865,5025,18.7,11.6,51.5,18.3,73.5,26.5,39812,10.3,5.5,6.9,17.6,3,11.7,5.7,2.2,4.2,7.4,20.2,3.3,4.8,7.5
01043,Cullman,01,AL,82313,30730,18.6,11.9,51.6,17.9,96.9,3.1,42558,11.7,2.4,10.1,17.2,3,14,5.8,1,3.9,7.8,20.1,6.3,5.2,3.3
01045,Dale,01,AL,49255,18670,19.4,12.8,51.7,16.2,75.5,24.5,45960,13.5,2.1,5.7,11.5,2.3,16.6,10.2,0.8,3.5,6.9,17.4,9.2,5.3,8.6
01047,Dallas,01,AL,40029,16336,20,13.6,49.7,16.8,28.6,71.4,31602,24.8,1.9,5.2,26.1,1.2,10.7,4.8,0.6,3.4,5.4,22.7,5.9,5.9,6.3
01049,DeKalb,01,AL,71200,26132,20.1,12.6,51,16.4,87.9,12.1,39233,17,2.9,7.5,28.4,1.8,12.5,6.4,0.9,3.8,4.4,16.7,6.7,4.3,3.7
01051,Elmore,01,AL,81212,29143,18.4,13,54.1,14.5,76.7,23.3,59347,9.8,1.5,8.1,11.5,2.1,12.1,4.7,1.3,5.8,8.3,20.1,8,4.7,11.7
01053,Escambia,01,AL,37328,13428,18.5,11.9,52.2,17.4,62.9,37.1,35000,17.9,2.3,7.6,17.7,1.9,11.5,6.3,1,3.4,5.3,19.8,9,4.6,9.7
01055,Etowah,01,AL,102939,38777,17.6,12.4,51.5,18.4,82,18,44023,13.4,0.7,6.1,19,2.6,11.8,4.6,1.9,3.9,5.6,23.3,9.6,5.7,5.2
01057,Fayette,01,AL,16585,6947,17.3,12,50.2,20.4,86.8,13.2,37458,15,3.9,4.7,23.5,2.7,12.6,7.4,1.7,3.2,4,24.6,4.3,4.1,3.4
01059,Franklin,01,AL,31542,11210,20.5,13.6,49.9,16.2,84.9,15.1,40459,14.8,2,9.9,29.4,2.4,9.1,4.4,2.7,3.6,5.4,18.1,6.2,3.4,3.2
01061,Geneva,01,AL,26491,10479,18.2,11.6,50.7,19.5,88.3,11.7,38142,17.8,5.6,9.2,15.1,5.7,10.2,7.3,0.6,2.7,5.9,21.1,4.9,5.6,6.4
01063,Greene,01,AL,8426,2955,18,12.8,48.8,20.3,19.5,80.5,21804,33.4,2.4,5.7,26.5,0.3,8.5,2.1,1,6.1,6.3,25.3,5.3,1,9.6
01065,Hale,01,AL,14887,5658,19.1,13.3,49.3,18.3,40.1,59.9,30571,20.1,5,6.3,20,1,11.6,3.8,0,3.8,9.3,23.8,7.1,5.3,3
01067,Henry,01,AL,17124,6669,17.1,11.8,49.4,21.6,72,28,48610,10.7,4.4,3.5,11.3,4.4,11.9,11.7,1.2,3.3,7.7,23.8,10.5,4.2,2.1
01069,Houston,01,AL,104352,39253,19.2,12.1,51.9,16.9,71.2,28.8,45496,14,1.5,5.8,9.6,3.7,14.5,7.8,1.4,4.2,7.6,23.8,10.1,5.3,4.7
01071,Jackson,01,AL,52094,20626,17.6,11,52.2,19.1,93.7,6.3,39816,16.5,1.7,7.2,27.6,1.3,12.8,5.3,0.8,4.2,6.4,19.4,5.3,5.1,2.9
01073,Jefferson,01,AL,659892,260924,19.1,12.8,53,15,53.3,46.7,51979,13.2,0.7,5.2,9.1,2.9,10.8,5.5,2.2,8.6,10.7,25.4,9.2,5.6,4
01075,Lamar,01,AL,13933,5974,18,10.9,49.9,21.1,88,12,36756,15.2,3.4,8.5,22.9,2.9,7.7,6.7,1.2,3.9,7.8,18.2,3.3,6.7,6.8
01077,Lauderdale,01,AL,92585,38514,16.3,15.1,49.2,19.3,88.5,11.5,46265,10.5,1,7.1,13.6,2.8,13.6,6.3,1.3,4.1,7.7,22.7,10.4,5.4,4
01079,Lawrence,01,AL,33171,12811,18.3,11.2,53.1,17.4,82.6,17.4,44515,13.4,2.7,8.9,24.1,2.9,9.3,7.6,1.2,3.7,6.2,19.2,4.9,5.1,4.1
01081,Lee,01,AL,159287,59373,17.9,22.5,48.5,11.2,72,28,48056,12.8,0.6,5.2,13.6,1.6,11.3,4.4,1.5,6.5,8.5,28.6,9.4,5,3.6
01083,Limestone,01,AL,93052,32126,18.6,12.3,54.3,14.7,82.5,17.5,56460,10.2,1.3,8.2,18.3,2.1,11.8,4.4,1.2,2.9,13.3,17.7,7.4,4.5,7
